w,rho
0.0,0.0
0.01,0.059399999999999994
0.02,0.1176
0.03,0.17459999999999998
0.04,0.2304
0.05,0.28500000000000003
0.06,0.3384
0.07,0.3906
0.08,0.4416
0.09,0.49140000000000006
0.1,0.5400000000000001
0.11,0.5874
0.12,0.6335999999999999
0.13,0.6786
0.14,0.7224
0.15,0.7649999999999999
0.16,0.8063999999999999
0.17,0.8466
0.18,0.8856000000000002
0.19,0.9234000000000001
0.2,0.9600000000000002
0.21,0.9954000000000001
0.22,1.0296
0.23,1.0626000000000002
0.24,1.0944
0.25,1.125
0.26,1.1544
0.27,1.1826
0.28,1.2096
0.29,1.2353999999999998
0.3,1.2599999999999998
0.31,1.2833999999999999
0.32,1.3055999999999999
0.33,1.3265999999999998
0.34,1.3463999999999998
0.35000000000000003,1.3649999999999998
0.36,1.3824
0.37,1.3985999999999998
0.38,1.4136000000000002
0.39,1.4273999999999998
0.4,1.4400000000000002
0.41000000000000003,1.4513999999999998
0.42,1.4616000000000002
0.43,1.4706000000000001
0.44,1.4784000000000002
0.45,1.4850000000000003
0.46,1.4904000000000002
0.47000000000000003,1.4946000000000002
0.48,1.4976
0.49,1.4994
0.5,1.5
0.51,1.4994
0.52,1.4976
0.53,1.4946
0.54,1.4904
0.55,1.4849999999999999
0.56,1.4784
0.5700000000000001,1.4706
0.58,1.4616
0.59,1.4514
0.6,1.44
0.61,1.4274
0.62,1.4136
0.63,1.3986
0.64,1.3823999999999999
0.65,1.365
0.66,1.3463999999999998
0.67,1.3266
0.68,1.3055999999999999
0.6900000000000001,1.2833999999999999
0.7000000000000001,1.2599999999999998
0.71,1.2354
0.72,1.2096000000000002
0.73,1.1826
0.74,1.1543999999999999
0.75,1.125
0.76,1.0944
0.77,1.0626
0.78,1.0295999999999998
0.79,0.9953999999999998
0.8,0.96
0.81,0.9233999999999998
0.8200000000000001,0.8855999999999997
0.8300000000000001,0.8465999999999997
0.84,0.8064000000000001
0.85,0.765
0.86,0.7224
0.87,0.6786
0.88,0.6336
0.89,0.5873999999999999
0.9,0.5399999999999999
0.91,0.49139999999999984
0.92,0.4415999999999998
0.93,0.3905999999999997
0.9400000000000001,0.3383999999999997
0.9500000000000001,0.28499999999999964
0.96,0.2304000000000002
0.97,0.17460000000000017
0.98,0.11760000000000011
0.99,0.05940000000000005
1.0,0.0
