,t,S
0,0.0,0.0
1,0.01,0.039999833334166665
2,0.02,0.07999866669333308
3,0.03,0.11999550020249566
4,0.04,0.15998933418663416
5,0.05,0.19997916927067835
6,0.06,0.2399640064794446
7,0.07,0.2799428473375328
8,0.08,0.3199146939691727
9,0.09,0.35987854919801104
10,0.1,0.3998334166468282
11,0.11,0.43977830083717484
12,0.12,0.47971220728891933
13,0.13,0.5196341426196949
14,0.14,0.5595431146442366
15,0.15,0.5994381324735991
16,0.16,0.639318206614246
17,0.17,0.679182349066996
18,0.18,0.7190295734258242
19,0.19,0.7588588949765006
20,0.2,0.7986693307950613
21,0.21,0.8384598998460996
22,0.22,0.8782296230808694
23,0.23,0.9179775235351885
24,0.24,0.9577026264271346
25,0.25,0.997403959254523
26,0.26,1.037080551892155
27,0.27,1.0767314366888312
28,0.28,1.116355648564114
29,0.29,1.1559522251048353
30,0.3,1.1955202066613395
31,0.31,1.2350586364434435
32,0.32,1.2745665606161176
33,0.33,1.3140430283948683
34,0.34,1.3534870921408144
35,0.35000000000000003,1.3928978074554514
36,0.36,1.43227423327509
37,0.37,1.471615431964962
38,0.38,1.5109204694129827
39,0.39,1.5501884151231613
40,0.4,1.5894183423086508
41,0.41000000000000003,1.628609327984423
42,0.42,1.6677604530595702
43,0.43,1.7068708024292107
44,0.44,1.7459394650659996
45,0.45,1.7849655341112303
46,0.46,1.82394810696552
47,0.47000000000000003,1.8628862853790684
48,0.48,1.9017791755414828
49,0.49,1.940625888171158
50,0.5,1.979425538604203
51,0.51,2.0181772468829076
52,0.52,2.056880137843737
53,0.53,2.095533341204847
54,0.54,2.134135991653113
55,0.55,2.172687228930659
56,0.56,2.211186197920884
57,0.5700000000000001,2.2496320487339694
58,0.58,2.2880239367918733
59,0.59,2.326361022912784
60,0.6,2.364642473395035
61,0.61,2.4028674601004814
62,0.62,2.441035160537305
63,0.63,2.4791447579422696
64,0.64,2.517195441362392
65,0.65,2.55518640573604
66,0.66,2.593116851973434
67,0.67,2.63098598703656
68,0.68,2.6687930240184685
69,0.6900000000000001,2.706537182221968
70,0.7000000000000001,2.744217687237691
71,0.71,2.7818337710215366
72,0.72,2.8193846719714735
73,0.73,2.8568696350036977
74,0.74,2.894287911628145
75,0.75,2.9316387600233345
76,0.76,2.9689214451105514
77,0.77,3.0061352386273565
78,0.78,3.04327941920041
79,0.79,3.080353272417608
80,0.8,3.117356090899523
81,0.81,3.1542871743701424
82,0.8200000000000001,3.1911458297268958
83,0.8300000000000001,3.227931371109963
84,0.84,3.2646431199708594
85,0.85,3.301280405140292
86,0.86,3.3378425628952773
87,0.87,3.374328937025505
88,0.88,3.4107388788989694
89,0.89,3.4470717475268238
90,0.9,3.4833269096274835
91,0.91,3.5195037396899505
92,0.92,3.5556016200363665
93,0.93,3.5916199408837772
94,0.9400000000000001,3.6275581004051145
95,0.9500000000000001,3.663415504789374
96,0.96,3.699191568300998
97,0.97,3.73488571333845
98,0.98,3.77049737049197
99,0.99,3.80602597860052
100,1.0,3.8414709848078967
